ramadeactividadeconómica,ámbitopoblacional,gruposdeedad,total
Sanidad y servicios veterinarios,Zona Intermedia,De 25 a 29 años,5689
Sanidad y servicios veterinarios,Zona Intermedia,De 30 a 34 años,3287
Sanidad y servicios veterinarios,Zona Intermedia,De 35 a 39 años,2055
Sanidad y servicios veterinarios,Zona Intermedia,De 40 a 44 años,1553
Sanidad y servicios veterinarios,Zona Intermedia,De 45 a 49 años,1899
Sanidad y servicios veterinarios,Zona Intermedia,De 50 a 54 años,1998
Sanidad y servicios veterinarios,Zona Intermedia,De 55 a 59 años,1661
Sanidad y servicios veterinarios,Zona Intermedia,De 60 a 64 años,1154
Sanidad y servicios veterinarios,Zona Intermedia,De 65 a 69 años,562
Sanidad y servicios veterinarios,Zona Intermedia,De 70 a 74 años,47
Sanidad y servicios veterinarios,Zona Intermedia,De 75 y más años,67
Sanidad y servicios veterinarios,Zona Urbana,Total,261345
Sanidad y servicios veterinarios,Zona Urbana,De 16 a 19 años,3404
Sanidad y servicios veterinarios,Zona Urbana,De 20 a 24 años,32882
Sanidad y servicios veterinarios,Zona Urbana,De 25 a 29 años,58497
Sanidad y servicios veterinarios,Zona Urbana,De 30 a 34 años,41502
Sanidad y servicios veterinarios,Zona Urbana,De 35 a 39 años,27285
Sanidad y servicios veterinarios,Zona Urbana,De 40 a 44 años,20889
Sanidad y servicios veterinarios,Zona Urbana,De 45 a 49 años,22899
Sanidad y servicios veterinarios,Zona Urbana,De 50 a 54 años,21489
Sanidad y servicios veterinarios,Zona Urbana,De 55 a 59 años,17111
Sanidad y servicios veterinarios,Zona Urbana,De 60 a 64 años,9975
Sanidad y servicios veterinarios,Zona Urbana,De 65 a 69 años,4167
Sanidad y servicios veterinarios,Zona Urbana,De 70 a 74 años,716
Sanidad y servicios veterinarios,Zona Urbana,De 75 y más años,530
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Ambos sexos),Total,81022
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Ambos sexos),De 16 a 19 años,2216
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Ambos sexos),De 20 a 24 años,7918
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Ambos sexos),De 25 a 29 años,8419
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Ambos sexos),De 30 a 34 años,7584
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Ambos sexos),De 35 a 39 años,7642
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Ambos sexos),De 40 a 44 años,7981
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Ambos sexos),De 45 a 49 años,9874
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Ambos sexos),De 50 a 54 años,9913
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Ambos sexos),De 55 a 59 años,8230
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Ambos sexos),De 60 a 64 años,5436
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Ambos sexos),De 65 a 69 años,2938
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Ambos sexos),De 70 a 74 años,1515
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Ambos sexos),De 75 y más años,1356
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Varones),Total,41930
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Varones),De 16 a 19 años,598
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Varones),De 20 a 24 años,1852
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Varones),De 25 a 29 años,3334
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Varones),De 30 a 34 años,3692
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Varones),De 35 a 39 años,4212
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Varones),De 40 a 44 años,4503
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Varones),De 45 a 49 años,5898
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Varones),De 50 a 54 años,6054
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Varones),De 55 a 59 años,6077
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Varones),De 60 a 64 años,3206
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Varones),De 65 a 69 años,1836
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Varones),De 70 a 74 años,945
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Varones),De 75 y más años,722
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Mujeres),Total,39092
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Mujeres),De 16 a 19 años,1617
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Mujeres),De 20 a 24 años,6066
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Mujeres),De 25 a 29 años,5085
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Mujeres),De 30 a 34 años,3891
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Mujeres),De 35 a 39 años,3430
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Mujeres),De 40 a 44 años,3477
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Mujeres),De 45 a 49 años,3977
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Mujeres),De 50 a 54 años,3859
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Mujeres),De 55 a 59 años,3153
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Mujeres),De 60 a 64 años,2231
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Mujeres),De 65 a 69 años,1102
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Mujeres),De 70 a 74 años,570
Asistencia social. Otros servicos presytados a la colectividad,Total nacional (Mujeres),De 75 y más años,634
Asistencia social. Otros servicos presytados a la colectividad,Zona Rural,Total,12510
Asistencia social. Otros servicos presytados a la colectividad,Zona Rural,De 16 a 19 años,342
Asistencia social. Otros servicos presytados a la colectividad,Zona Rural,De 20 a 24 años,902
Asistencia social. Otros servicos presytados a la colectividad,Zona Rural,De 25 a 29 años,1011
Asistencia social. Otros servicos presytados a la colectividad,Zona Rural,De 30 a 34 años,896
Asistencia social. Otros servicos presytados a la colectividad,Zona Rural,De 35 a 39 años,1203
Asistencia social. Otros servicos presytados a la colectividad,Zona Rural,De 40 a 44 años,1268
Asistencia social. Otros servicos presytados a la colectividad,Zona Rural,De 45 a 49 años,1843
Asistencia social. Otros servicos presytados a la colectividad,Zona Rural,De 50 a 54 años,1641
Asistencia social. Otros servicos presytados a la colectividad,Zona Rural,De 55 a 59 años,1327
Asistencia social. Otros servicos presytados a la colectividad,Zona Rural,De 60 a 64 años,737
Asistencia social. Otros servicos presytados a la colectividad,Zona Rural,De 65 a 69 años,604
Asistencia social. Otros servicos presytados a la colectividad,Zona Rural,De 70 a 74 años,393
Asistencia social. Otros servicos presytados a la colectividad,Zona Rural,De 75 y más años,343
Asistencia social. Otros servicos presytados a la colectividad,Zona Intermedia,Total,10938
Asistencia social. Otros servicos presytados a la colectividad,Zona Intermedia,De 16 a 19 años,362
Asistencia social. Otros servicos presytados a la colectividad,Zona Intermedia,De 20 a 24 años,1169
Asistencia social. Otros servicos presytados a la colectividad,Zona Intermedia,De 25 a 29 años,1043
Asistencia social. Otros servicos presytados a la colectividad,Zona Intermedia,De 30 a 34 años,952
Asistencia social. Otros servicos presytados a la colectividad,Zona Intermedia,De 35 a 39 años,1011
Asistencia social. Otros servicos presytados a la colectividad,Zona Intermedia,De 40 a 44 años,1104
Asistencia social. Otros servicos presytados a la colectividad,Zona Intermedia,De 45 a 49 años,1360
Asistencia social. Otros servicos presytados a la colectividad,Zona Intermedia,De 50 a 54 años,1321
Asistencia social. Otros servicos presytados a la colectividad,Zona Intermedia,De 55 a 59 años,1003
Asistencia social. Otros servicos presytados a la colectividad,Zona Intermedia,De 60 a 64 años,778
Asistencia social. Otros servicos presytados a la colectividad,Zona Intermedia,De 65 a 69 años,406
Asistencia social. Otros servicos presytados a la colectividad,Zona Intermedia,De 70 a 74 años,246
Asistencia social. Otros servicos presytados a la colectividad,Zona Intermedia,De 75 y más años,183
Asistencia social. Otros servicos presytados a la colectividad,Zona Urbana,Total,57575
Asistencia social. Otros servicos presytados a la colectividad,Zona Urbana,De 16 a 19 años,1512
Asistencia social. Otros servicos presytados a la colectividad,Zona Urbana,De 20 a 24 años,5847
Asistencia social. Otros servicos presytados a la colectividad,Zona Urbana,De 25 a 29 años,6366
Asistencia social. Otros servicos presytados a la colectividad,Zona Urbana,De 30 a 34 años,5735
Asistencia social. Otros servicos presytados a la colectividad,Zona Urbana,De 35 a 39 años,5428
Asistencia social. Otros servicos presytados a la colectividad,Zona Urbana,De 40 a 44 años,5608
Asistencia social. Otros servicos presytados a la colectividad,Zona Urbana,De 45 a 49 años,6671
Asistencia social. Otros servicos presytados a la colectividad,Zona Urbana,De 50 a 54 años,6952
Asistencia social. Otros servicos presytados a la colectividad,Zona Urbana,De 55 a 59 años,5900
Asistencia social. Otros servicos presytados a la colectividad,Zona Urbana,De 60 a 64 años,3921
Asistencia social. Otros servicos presytados a la colectividad,Zona Urbana,De 65 a 69 años,1928
Asistencia social. Otros servicos presytados a la colectividad,Zona Urbana,De 70 a 74 años,875
Asistencia social. Otros servicos presytados a la colectividad,Zona Urbana,De 75 y más años,830
Servicios recreativos y culturales,Total nacional (Ambos sexos),Total,89831
Servicios recreativos y culturales,Total nacional (Ambos sexos),De 16 a 19 años,3558
Servicios recreativos y culturales,Total nacional (Ambos sexos),De 20 a 24 años,11594
Servicios recreativos y culturales,Total nacional (Ambos sexos),De 25 a 29 años,12981
Servicios recreativos y culturales,Total nacional (Ambos sexos),De 30 a 34 años,11322
Servicios recreativos y culturales,Total nacional (Ambos sexos),De 35 a 39 años,9317
Servicios recreativos y culturales,Total nacional (Ambos sexos),De 40 a 44 años,7844
Servicios recreativos y culturales,Total nacional (Ambos sexos),De 45 a 49 años,8579
Servicios recreativos y culturales,Total nacional (Ambos sexos),De 50 a 54 años,9118
Servicios recreativos y culturales,Total nacional (Ambos sexos),De 55 a 59 años,8287
Servicios recreativos y culturales,Total nacional (Ambos sexos),De 60 a 64 años,5159
Servicios recreativos y culturales,Total nacional (Ambos sexos),De 65 a 69 años,1343
Servicios recreativos y culturales,Total nacional (Ambos sexos),De 70 a 74 años,419
Servicios recreativos y culturales,Total nacional (Ambos sexos),De 75 y más años,309
Servicios recreativos y culturales,Total nacional (Varones),Total,66705
Servicios recreativos y culturales,Total nacional (Varones),De 16 a 19 años,2522
Servicios recreativos y culturales,Total nacional (Varones),De 20 a 24 años,7556
Servicios recreativos y culturales,Total nacional (Varones),De 25 a 29 años,9647
Servicios recreativos y culturales,Total nacional (Varones),De 30 a 34 años,8457
Servicios recreativos y culturales,Total nacional (Varones),De 35 a 39 años,7050
Servicios recreativos y culturales,Total nacional (Varones),De 40 a 44 años,6088
Servicios recreativos y culturales,Total nacional (Varones),De 45 a 49 años,6685
Servicios recreativos y culturales,Total nacional (Varones),De 50 a 54 años,7010
Servicios recreativos y culturales,Total nacional (Varones),De 55 a 59 años,6415
Servicios recreativos y culturales,Total nacional (Varones),De 60 a 64 años,3941
Servicios recreativos y culturales,Total nacional (Varones),De 65 a 69 años,899
Servicios recreativos y culturales,Total nacional (Varones),De 70 a 74 años,233
Servicios recreativos y culturales,Total nacional (Varones),De 75 y más años,201
Servicios recreativos y culturales,Total nacional (Mujeres),Total,23127
Servicios recreativos y culturales,Total nacional (Mujeres),De 16 a 19 años,1036
Servicios recreativos y culturales,Total nacional (Mujeres),De 20 a 24 años,4038
Servicios recreativos y culturales,Total nacional (Mujeres),De 25 a 29 años,3333
Servicios recreativos y culturales,Total nacional (Mujeres),De 30 a 34 años,2866
Servicios recreativos y culturales,Total nacional (Mujeres),De 35 a 39 años,2268
Servicios recreativos y culturales,Total nacional (Mujeres),De 40 a 44 años,1755
Servicios recreativos y culturales,Total nacional (Mujeres),De 45 a 49 años,1894
Servicios recreativos y culturales,Total nacional (Mujeres),De 50 a 54 años,2108
Servicios recreativos y culturales,Total nacional (Mujeres),De 55 a 59 años,1872
Servicios recreativos y culturales,Total nacional (Mujeres),De 60 a 64 años,1218
Servicios recreativos y culturales,Total nacional (Mujeres),De 65 a 69 años,445
Servicios recreativos y culturales,Total nacional (Mujeres),De 70 a 74 años,186
Servicios recreativos y culturales,Total nacional (Mujeres),De 75 y más años,109
Servicios recreativos y culturales,Zona Rural,Total,6936
Servicios recreativos y culturales,Zona Rural,De 16 a 19 años,507
Servicios recreativos y culturales,Zona Rural,De 20 a 24 años,1109
Servicios recreativos y culturales,Zona Rural,De 25 a 29 años,1106
Servicios recreativos y culturales,Zona Rural,De 30 a 34 años,862
Servicios recreativos y culturales,Zona Rural,De 35 a 39 años,677
Servicios recreativos y culturales,Zona Rural,De 40 a 44 años,578
Servicios recreativos y culturales,Zona Rural,De 45 a 49 años,673
Servicios recreativos y culturales,Zona Rural,De 50 a 54 años,563
Servicios recreativos y culturales,Zona Rural,De 55 a 59 años,504
Servicios recreativos y culturales,Zona Rural,De 60 a 64 años,230
Servicios recreativos y culturales,Zona Rural,De 65 a 69 años,67
Servicios recreativos y culturales,Zona Rural,De 70 a 74 años,20
Servicios recreativos y culturales,Zona Rural,De 75 y más años,40
Servicios recreativos y culturales,Zona Intermedia,Total,8085
Servicios recreativos y culturales,Zona Intermedia,De 16 a 19 años,499
Servicios recreativos y culturales,Zona Intermedia,De 20 a 24 años,1199
Servicios recreativos y culturales,Zona Intermedia,De 25 a 29 años,1341
Servicios recreativos y culturales,Zona Intermedia,De 30 a 34 años,1069
